,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
62,1.2282031536102296,0.07332197327540511,0.006198883056640625,0.00039163106367200325,0.1,0.1,9,500,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 500}",0.9337238148343918,0.9264232578834781,0.9273669554388237,0.9165816993435529,0.8944284233270671,0.9197048301654627,0.013776995714925674,11,-4.185690845657517,-4.4136632105823805,-4.613141503612697,-4.700069114573163,-5.659354425215158,-4.714383819928183,0.5046530507561074,11
60,0.25761852264404295,0.004545515962100638,0.006594181060791016,0.0004854879303953937,0.1,0.1,9,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9339720361824961,0.9257328948624761,0.9275770062170351,0.9162539616482004,0.8942505006495954,0.9195572799119607,0.013867836287972578,12,-4.1778452487995015,-4.434321339937436,-4.606466197952105,-4.709292988612774,-5.664121350320858,-4.718409425124535,0.5059448803682516,12
21,0.22281208038330078,0.02373778350016975,0.005598211288452148,0.0008046362144913578,0.01,0.1,6,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9374868782554846,0.9059430992798176,0.9360935402806158,0.9193292670593978,0.889511493499736,0.9176728556750102,0.01824998803008153,13,-4.065125805438124,-4.99027232113436,-4.3271508104271685,-4.6220174039803705,-5.789645075712817,-4.758842283338568,0.6004057605098582,13
57,0.2619981288909912,0.05826245067619576,0.006194067001342773,0.00039441747459845287,0.1,0.1,6,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9363318506332812,0.9063855114429714,0.9354498417119461,0.921289505619043,0.8877883911924083,0.9174490201199299,0.018425494987509637,14,-4.1025086951416325,-4.978522202766193,-4.3488888471866884,-4.565516273931608,-5.834616069459437,-4.766010417697112,0.6068776054321108,14
53,1.3112046718597412,0.029201496700923948,0.007591819763183594,0.0004930811084307558,0.1,0.01,9,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.9308308610441689,0.9140713567580225,0.9234994483995314,0.9166901723174639,0.8900942648476127,0.91503722067336,0.013761283092923474,15,-4.276067790735433,-4.76977497970908,-4.734367158907997,-4.697012253442137,-5.774356154565782,-4.850315667472086,0.4953875738251259,15
17,1.2941094398498536,0.02530345987116419,0.008890390396118164,0.00020188735680539235,0.01,0.01,9,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500}",0.928020405716495,0.9133137140269295,0.922969767974008,0.915486817421876,0.8916503105234642,0.9142882031325545,0.012480412196037403,16,-4.362074656000099,-4.790756659049833,-4.7507289743926115,-4.730813237495616,-5.733333763675861,-4.873541458122805,0.45676004038067985,16
19,0.40180583000183107,0.11709725559661846,0.006090545654296875,0.0002046612413193669,0.01,0.1,3,200,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9382771158915848,0.9012219448762252,0.929672484217526,0.9097186004166167,0.8728596188431985,0.9103499528490303,0.022989262421427348,17,-4.03935015905575,-5.11398146067097,-4.539335583087375,-4.889593065263766,-6.210622664184321,-4.958576586452436,0.7235010747217009,17
55,0.37498927116394043,0.0942050563907816,0.006022977828979492,3.261071161999625e-05,0.1,0.1,3,200,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9386342929943868,0.9012219448762252,0.9304843288312828,0.9081734558065488,0.8728598561331589,0.9102747757283206,0.023233311242044096,18,-4.027645774939099,-5.11398146067097,-4.513059009041393,-4.931257660919681,-6.210616868546933,-4.959312154823615,0.7290565477263545,18
14,1.0196934700012208,0.00989286571059227,0.007314491271972656,0.0006151014776196304,0.01,0.01,6,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9280166666586716,0.9023331430672012,0.9228304876371553,0.9082139935471281,0.8842148312878727,0.9091218244396057,0.015570556629183718,19,-4.362187950870167,-5.085135381829988,-4.755021992101362,-4.9301690644109,-5.926794315765614,-5.011861740995606,0.5171435055015168,19
50,1.2277950286865233,0.07119709604396568,0.007310104370117187,0.0008936105363043104,0.1,0.01,6,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}",0.9270322836840604,0.9031828551706231,0.922187647057493,0.9060941596520363,0.8856678463676648,0.9088329583863756,0.014735061930570337,20,-4.391913460854391,-5.062966447563658,-4.774786155254141,-4.986776185293174,-5.889488544639177,-5.021186158720909,0.4926612958589437,20
64,0.3341835021972656,0.010583222669163627,0.005118846893310547,0.0005004773187817827,0.1,1,3,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 200}",0.9160479577704355,0.8942227311377637,0.9089800202387858,0.9158211338948367,0.876081965296739,0.9022307616677121,0.015290871272045458,21,-4.710901564321694,-5.292064010073921,-5.164140139647658,-4.721446911690409,-6.13141409374087,-5.2039933438949095,0.5187378007608091,21
