,words,tf,idf,tfidf
89,ability,3.0,9.61430435395808,28.84291306187424
90,able,21.0,4.193769354685794,88.06915644840167
91,abmhappylife,15.0,7.599401333415815,113.99102000123723
92,abmtravelbug,3.0,9.208839245849916,27.626517737549747
93,abnormal,19.0,7.41707977662186,140.92451575581535
94,abnormalclothes,33.0,7.41707977662186,244.76363262852138
95,abounti,9.0,8.110226957181807,72.99204261463626
96,abourdoumis,11.0,7.909556261719655,87.0051188789162
97,aboutalook,6.0,8.51569206528997,51.094152391739826
98,aboutcyprus,7.0,8.361541385462711,58.530789698238976
99,aboutkastoria,18.0,7.41707977662186,133.50743597919347
100,aboutlastnight,44.0,6.523261900599764,287.02352362638965
101,abs,27.0,5.764156752248021,155.63223231069657
102,absolutely,20.0,7.3117192609640345,146.23438521928068
103,absoluteme,3.0,9.208839245849916,27.626517737549747
104,abu,3.0,4.762274090038463,14.286822270115387
105,abudhabi,9.0,8.110226957181807,72.99204261463626
106,abuse,5.0,9.208839245849916,46.04419622924958
107,academic,3.0,9.208839245849916,27.626517737549747
108,academy,30.0,5.7224840558474535,171.6745216754236
109,acc,3.0,4.617092080193965,13.851276240581894
110,acceptance,3.0,9.208839245849916,27.626517737549747
111,accepted,4.0,8.921157173398134,35.684628693592536
112,access,5.0,5.8531042382645175,29.265521191322588
113,accessfashiongr,6.0,8.51569206528997,51.094152391739826
114,accessories,45.0,6.2644002666834755,281.8980120007564
115,accessorize,18.0,7.47423819046181,134.53628742831256
116,accessorizegreece,16.0,7.534862812278244,120.5578049964519
117,accessory,3.0,9.208839245849916,27.626517737549747
118,acceuil,3.0,9.208839245849916,27.626517737549747
119,according,13.0,7.742502177056489,100.65252830173435
120,account,60.0,5.495267179145608,329.71603074873644
121,accounts,3.0,9.208839245849916,27.626517737549747
122,accumulated,4.0,9.61430435395808,38.45721741583232
123,ace,3.0,3.0205751227673256,9.061725368301977
124,acesse,5.0,8.698013622083925,43.49006811041963
125,achanelshot,7.0,8.361541385462711,58.530789698238976
126,achieve,5.0,7.21640908115971,36.082045405798546
127,achieved,3.0,9.208839245849916,27.626517737549747
128,achievement,4.0,7.909556261719655,31.63822504687862
129,achievements,7.0,8.361541385462711,58.530789698238976
130,achieves,3.0,9.208839245849916,27.626517737549747
131,acid,3.0,9.208839245849916,27.626517737549747
132,acp,12.0,7.47423819046181,89.69085828554171
133,acquepella,6.0,8.51569206528997,51.094152391739826
134,acreativevisual,4.0,8.921157173398134,35.684628693592536
135,acro,4.0,6.247008523971606,24.988034095886423
136,acrojames,3.0,9.208839245849916,27.626517737549747
137,acropolis,49.0,6.569781916234657,321.9193138954982
138,across,12.0,7.909556261719655,94.91467514063586
139,acrylic,6.0,8.228009992838189,49.36805995702913
140,acrylicpaint,6.0,8.51569206528997,51.094152391739826
141,acrylics,6.0,8.51569206528997,51.094152391739826
142,act,22.0,3.268667993129484,71.91069584884865
143,acting,27.0,7.049354996496543,190.33258490540666
144,action,22.0,6.436250523610134,141.59751151942294
145,actions,5.0,8.110226957181807,40.551134785909035
146,active,14.0,6.282099843782876,87.94939781296027
147,activemom,16.0,7.534862812278244,120.5578049964519
148,activewear,6.0,8.51569206528997,51.094152391739826
149,activiagr,7.0,8.228009992838189,57.59606994986732
150,activiagreece,8.0,8.228009992838189,65.82407994270551
151,activities,7.0,8.361541385462711,58.530789698238976
152,activity,6.0,8.51569206528997,51.094152391739826
153,actor,167.0,4.438154621384251,741.1718217711699
154,actores,8.0,8.228009992838189,65.82407994270551
155,actors,28.0,6.058956292468666,169.65077618912267
156,actorslife,39.0,6.643889888388379,259.1117056471468
157,actorslove,14.0,7.742502177056489,108.39503047879084
158,actra,59.0,6.229914090612306,367.56493134612606
159,actress,90.0,5.785662957468985,520.7096661722087
160,actresses,7.0,8.921157173398134,62.44810021378694
161,actresslife,20.0,7.3117192609640345,146.23438521928068
162,actriz,20.0,7.3117192609640345,146.23438521928068
163,actual,3.0,7.822544884730025,23.467634654190075
164,actually,10.0,8.00486644152398,80.0486644152398
165,actör,42.0,6.569781916234657,275.93084048185557
166,acun,3.0,10.307451534518025,30.922354603554076
167,ad,14.0,1.909041879091755,26.72658630728457
168,ada,4.0,3.4270674523320204,13.708269809328081
169,adam,4.0,6.546251418824463,26.18500567529785
170,adana,7.0,9.61430435395808,67.30013047770656
171,adaslittlekitchen,14.0,7.668394204902767,107.35751886863873
172,add,17.0,4.349026841488244,73.93345630530014
173,added,7.0,8.361541385462711,58.530789698238976
174,addicted,16.0,7.12939770417008,114.07036326672127
175,addiction,13.0,7.742502177056489,100.65252830173435
176,additional,3.0,9.208839245849916,27.626517737549747
177,adelaide,3.0,9.61430435395808,28.84291306187424
178,adgujral,3.0,9.208839245849916,27.626517737549747
179,adidas,70.0,5.976718194231694,418.37027359621857
180,adidasgr,24.0,7.12939770417008,171.1055449000819
181,adidasoriginals,10.0,8.00486644152398,80.0486644152398
182,adidasperformance,3.0,9.208839245849916,27.626517737549747
183,adidasrunning,3.0,9.208839245849916,27.626517737549747
184,adidasshoes,3.0,9.208839245849916,27.626517737549747
185,adidasstellasport,3.0,9.208839245849916,27.626517737549747
186,adidaswomen,4.0,8.921157173398134,35.684628693592536
187,adiefsane,7.0,8.361541385462711,58.530789698238976
188,adiprene,3.0,9.208839245849916,27.626517737549747
189,admin,83.0,6.102758915127059,506.5289899555459
190,administrated,3.0,9.208839245849916,27.626517737549747
191,admit,4.0,8.921157173398134,35.684628693592536
192,adonisanastasiou,20.0,7.742502177056489,154.85004354112976
193,adonmagazine,3.0,9.61430435395808,28.84291306187424
194,adorable,136.0,5.394796648781973,733.6923442343484
195,adore,6.0,8.51569206528997,51.094152391739826
196,adoro,3.0,8.361541385462711,25.084624156388134
197,adquira,7.0,8.361541385462711,58.530789698238976
198,advance,3.0,9.208839245849916,27.626517737549747
199,adventure,29.0,6.523261900599764,189.17459511739315
200,adventures,6.0,8.51569206528997,51.094152391739826
201,advertisement,3.0,9.208839245849916,27.626517737549747
202,advertising,4.0,8.921157173398134,35.684628693592536
203,advice,4.0,8.921157173398134,35.684628693592536
204,ae_greece,68.0,6.087943829341919,413.9801803952505
205,aegean,38.0,6.229914090612306,236.73673544326763
206,aegeanairlines,12.0,7.822544884730025,93.8705386167603
207,aegeansea,30.0,6.90625415285587,207.1876245856761
208,aegina,20.0,7.171957318588875,143.4391463717775
209,aek,4.0,8.921157173398134,35.684628693592536
210,aerial,7.0,8.110226957181807,56.771588700272645
211,aesthetic,23.0,6.546251418824463,150.56378263296264
212,aesthetics,16.0,7.363012555351585,117.80820088562535
213,af,7.0,3.0350531419479787,21.24537199363585
214,affair,3.0,9.208839245849916,27.626517737549747
215,affect,3.0,9.208839245849916,27.626517737549747
216,afford,3.0,9.208839245849916,27.626517737549747
217,afou,4.0,8.921157173398134,35.684628693592536
