,FOLLOWERS,FOLLOWING,NUMBER OF TAGS,USERS IN PHOTO,VIDEO,TUE,WED,THU,FRI,SAT,SUN
291,431027,83,5,3,0,0,0,0,0,0,0
292,431027,83,9,0,1,0,0,0,0,0,1
293,431027,83,3,1,0,0,0,0,0,1,0
294,431027,83,3,1,0,0,0,0,0,0,0
295,431027,83,4,1,0,0,0,0,0,0,1
296,431027,83,6,1,0,0,0,1,0,0,0
297,421781,414,0,0,0,0,0,0,0,1,0
298,421781,414,0,0,0,0,0,0,0,0,1
299,421781,414,0,0,0,0,0,0,0,0,0
300,421781,414,2,1,0,0,0,1,0,0,0
301,406776,865,6,0,0,0,0,0,1,0,0
302,406776,865,8,0,1,0,0,1,0,0,0
303,406776,865,6,1,0,0,0,0,1,0,0
304,406776,865,6,5,0,0,0,0,0,0,0
305,406776,865,7,3,0,0,0,0,0,0,1
306,406776,865,8,5,0,0,1,0,0,0,0
307,406776,865,8,2,0,0,0,0,0,1,0
308,406776,865,8,4,0,0,0,0,0,1,0
309,406776,865,5,4,0,1,0,0,0,0,0
310,406776,865,5,6,0,0,1,0,0,0,0
311,406776,865,5,0,0,0,0,0,0,0,1
312,406776,865,5,0,0,0,0,0,0,0,0
313,406776,865,6,5,0,0,0,1,0,0,0
314,406776,865,6,3,0,0,0,0,1,0,0
315,406776,865,7,0,0,0,0,0,0,1,0
316,406776,865,11,6,0,0,0,0,0,0,0
317,406776,865,6,1,0,0,0,0,0,0,1
318,406776,865,5,4,0,0,0,1,0,0,0
319,406776,865,9,6,0,0,0,1,0,0,0
320,406776,865,4,0,0,0,0,0,0,0,1
321,406776,865,7,0,0,0,0,0,0,1,0
322,406776,865,6,5,0,0,1,0,0,0,0
323,406776,865,4,2,0,0,0,0,1,0,0
324,406776,865,5,1,0,0,0,0,0,0,0
325,406776,865,10,3,0,1,0,0,0,0,0
326,406776,865,5,1,0,0,0,0,0,1,0
327,365995,1160,1,0,0,0,0,0,1,0,0
328,365995,1160,1,0,0,0,0,0,0,1,0
329,365995,1160,0,0,1,0,0,0,0,0,0
330,365995,1160,2,1,0,0,0,0,0,0,0
331,365995,1160,2,0,0,1,0,0,0,0,0
332,365995,1160,1,0,0,1,0,0,0,0,0
333,365995,1160,4,0,0,0,1,0,0,0,0
334,365995,1160,2,0,0,0,0,0,1,0,0
335,365995,1160,4,0,1,0,0,0,1,0,0
336,365995,1160,3,1,0,1,0,0,0,0,0
337,365995,1160,3,0,0,0,1,0,0,0,0
338,365995,1160,0,3,0,0,0,1,0,0,0
339,365995,1160,1,1,0,0,0,0,1,0,0
340,365995,1160,1,0,0,0,0,0,1,0,0
341,365995,1160,3,1,0,0,0,0,0,1,0
342,365995,1160,2,3,0,0,0,0,1,0,0
343,365995,1160,2,1,0,0,0,0,0,0,0
344,365995,1160,2,2,0,0,0,0,0,0,0
345,365995,1160,2,0,0,0,0,1,0,0,0
346,365995,1160,1,0,0,1,0,0,0,0,0
347,351130,414,2,5,0,0,0,1,0,0,0
348,351130,414,3,0,1,0,0,1,0,0,0
349,351130,414,0,0,1,0,0,1,0,0,0
350,351130,414,1,5,0,0,0,0,0,0,0
351,351130,414,2,3,0,0,0,0,1,0,0
352,351130,414,2,0,0,0,0,0,0,1,0
353,351130,414,1,1,0,0,0,0,0,0,0
354,351130,414,0,0,0,0,1,0,0,0,0
355,351130,414,2,2,0,0,0,1,0,0,0
356,351130,414,2,1,0,0,0,0,1,0,0
357,351130,414,2,0,1,0,0,0,0,1,0
358,351130,414,0,0,0,0,0,0,0,1,0
359,351130,414,2,0,0,0,0,0,0,0,1
360,351130,414,0,5,0,0,0,0,1,0,0
361,349048,448,3,0,0,0,0,1,0,0,0
362,349048,448,3,0,0,0,0,0,0,1,0
363,349048,448,4,0,0,0,0,0,0,0,1
364,349048,448,6,0,0,0,1,0,0,0,0
365,349048,448,6,0,0,0,0,0,0,1,0
366,349048,448,6,0,1,1,0,0,0,0,0
367,349048,448,2,0,0,0,0,0,1,0,0
368,349048,448,6,0,1,0,0,0,0,0,0
369,349048,448,2,0,0,0,0,1,0,0,0
370,348874,1067,1,0,0,0,0,1,0,0,0
371,348874,1067,5,0,0,1,0,0,0,0,0
372,348874,1067,1,0,0,0,0,1,0,0,0
373,348874,1067,7,0,0,0,0,0,0,1,0
374,348874,1067,4,0,0,0,0,0,0,1,0
375,348874,1067,3,1,0,0,0,0,0,0,0
376,348874,1067,4,0,1,0,0,0,1,0,0
377,348874,1067,3,0,1,0,0,0,0,1,0
378,348874,1067,5,0,0,0,0,0,0,0,1
379,348874,1067,4,0,0,0,1,0,0,0,0
380,348874,1067,4,0,0,0,0,1,0,0,0
381,348874,1067,4,2,0,1,0,0,0,0,0
382,320608,1263,0,1,0,0,0,0,0,1,0
383,320608,1263,4,1,0,0,1,0,0,0,0
384,320608,1263,0,1,0,0,0,1,0,0,0
385,320608,1263,0,1,0,0,0,1,0,0,0
386,320608,1263,2,1,0,0,0,0,1,0,0
387,320608,1263,1,0,0,0,0,0,1,0,0
388,320608,1263,6,9,0,0,0,0,1,0,0
389,320608,1263,0,1,0,0,0,0,0,1,0
390,320608,1263,0,0,0,0,0,0,0,0,1
391,320608,1263,0,1,0,0,0,0,0,0,0
392,320608,1263,0,0,0,1,0,0,0,0,0
393,320608,1263,2,1,0,1,0,0,0,0,0
394,320608,1263,2,1,0,0,1,0,0,0,0
395,320608,1263,1,1,0,0,0,1,0,0,0
396,320608,1263,0,1,0,0,0,1,0,0,0
397,320608,1263,0,6,0,0,0,0,0,0,0
398,296158,265,7,0,0,0,0,0,1,0,0
399,296158,265,4,0,0,0,0,0,0,0,0
400,296158,265,9,7,0,1,0,0,0,0,0
401,296158,265,6,2,0,1,0,0,0,0,0
402,296158,265,7,1,0,0,1,0,0,0,0
403,296158,265,4,0,0,0,1,0,0,0,0
404,296158,265,8,1,0,0,1,0,0,0,0
405,296158,265,8,0,0,0,0,1,0,0,0
